codigo,municipio,pib_2021_brl
3550308,São Paulo (SP),828980608
3304557,Rio de Janeiro (RJ),359634753
5300108,Brasília (DF),286943782
3106200,Belo Horizonte (MG),105829675
1302603,Manaus (AM),103281436
4106902,Curitiba (PR),98003704
3534401,Osasco (SP),86111260
3302700,Maricá (RJ),85814296
4314902,Porto Alegre (RS),81562848
3518800,Guarulhos (SP),77376467
2304400,Fortaleza (CE),73436128
3509502,Campinas (SP),72946775
3303302,Niterói (RJ),66345730
2927408,Salvador (BA),62954487
5208707,Goiânia (GO),59865990
3548708,São Bernardo do Campo (SP),58277014
3505708,Barueri (SP),58027667
3525904,Jundiaí (SP),57670893
2611606,Recife (PE),54970305
3301702,Duque de Caxias (RJ),53136666
3536505,Paulínia (SP),52389437
1505536,Parauapebas (PA),49763040
4208203,Itajaí (SC),47754802
3549904,São José dos Campos (SP),45208808
4209102,Joinville (SC),45069864
3552205,Sorocaba (SP),44533398
3170206,Uberlândia (MG),43129285
3305505,Saquarema (RJ),42178208
3543402,Ribeirão Preto (SP),39955572
3205002,Serra (ES),37279406
3301009,Campos dos Goytacazes (RJ),37179860
2111300,São Luís (MA),36535226
3118601,Contagem (MG),36479765
1502152,Canaã dos Carajás (PA),34989610
5002704,Campo Grande (MS),34731151
3538709,Piracicaba (SP),34555724
2905701,Camaçari (BA),33971705
1501402,Belém (PA),33467126
3106705,Betim (MG),33132919
3547809,Santo André (SP),32620295
4305108,Caxias do Sul (RS),31688460
3205309,Vitória (ES),31423573
5103403,Cuiabá (MT),29746934
2704302,Maceió (AL),27484016
4125506,São José dos Pinhais (PR),27009658
4101804,Araucária (PR),25267382
2408102,Natal (RN),24186262
3548500,Santos (SP),24090173
2211001,Teresina (PI),23895231
4113700,Londrina (PR),23604749
4205407,Florianópolis (SC),23555034
3520509,Indaiatuba (SP),22817117
3509205,Cajamar (SP),22713160
4115200,Maringá (PR),22656733
2507507,João Pessoa (PB),22244284
4304606,Canoas (RS),21995362
3513504,Cubatão (SP),21946472
3144805,Nova Lima (MG),21042646
3549805,São José do Rio Preto (SP),20962617
3529401,Mauá (SP),20776213
4202404,Blumenau (SC),20576440
3170107,Uberaba (MG),20397519
3304904,São Gonçalo (RJ),20324883
3136702,Juiz de Fora (MG),20297559
1100205,Porto Velho (RO),20059522
3527306,Louveira (SP),19677151
3306305,Volta Redonda (RJ),19671281
3530607,Mogi das Cruzes (SP),19604517
4119905,Ponta Grossa (PR),19490853
4108304,Foz do Iguaçu (PR),18969765
3513801,Diadema (SP),18484356
2800308,Aracaju (SE),18405678
3519071,Hortolândia (SP),18377822
3303500,Nova Iguaçu (RJ),17794593
5201108,Anápolis (GO),17788289
3302403,Macaé (RJ),17747016
3131307,Ipatinga (MG),17609177
5107602,Rondonópolis (MT),17295644
2910800,Feira de Santana (BA),17282198
5201405,Aparecida de Goiânia (GO),16979984
3506003,Bauru (SP),16721368
5218805,Rio Verde (GO),16306271
3205200,Vila Velha (ES),16305842
3554102,Taubaté (SP),16199986
3552403,Sumaré (SP),16179892
2607901,Jaboatão dos Guararapes (PE),16133556
3513009,Cotia (SP),16114165
3524402,Jacareí (SP),16094435
3526902,Limeira (SP),16060739
3550704,São Sebastião (SP),16008645
4104808,Cascavel (PR),15787528
3303906,Petrópolis (RJ),15665448
3548807,São Caetano do Sul (SP),15566768
3501608,Americana (SP),15217280
3131703,Itabira (MG),14971929
2607208,Ipojuca (PE),14929346
3552502,Suzano (SP),14811514
3515004,Embu das Artes (SP),14314754
3548906,São Carlos (SP),14141854
3524709,Jaguariúna (SP),13981302
3520400,Ilhabela (SP),13956618
4216602,São José (SC),13838193
3538006,Pindamonhangaba (SP),13742498
2602902,Cabo de Santo Agostinho (PE),13706389
3201308,Cariacica (ES),13698973
4204202,Chapecó (SC),13693104
3125101,Extrema (MG),13651225
4118204,Paranaguá (PR),13647352
1504208,Marabá (PA),13523145
1400100,Boa Vista (RR),13493364
