codigo_tse,uf,municipio,capital,codigo_ibge
01120,AC,Acrelândia,0,1200013
01570,AC,Assis Brasil,0,1200054
01058,AC,Brasiléia,0,1200104
01007,AC,Bujari,0,1200138
01015,AC,Capixaba,0,1200179
01074,AC,Cruzeiro do Sul,0,1200203
01112,AC,Epitaciolândia,0,1200252
01139,AC,Feijó,0,1200302
01104,AC,Jordão,0,1200328
01554,AC,Manoel Urbano,0,1200344
01040,AC,Marechal Thaumaturgo,0,1200351
01090,AC,Mâncio Lima,0,1200336
01511,AC,Plácido de Castro,0,1200385
01023,AC,Porto Acre,0,1200807
01066,AC,Porto Walter,0,1200393
01392,AC,Rio Branco,1,1200401
01082,AC,Rodrigues Alves,0,1200427
01031,AC,Santa Rosa do Purus,0,1200435
01457,AC,Sena Madureira,0,1200500
01538,AC,Senador Guiomard,0,1200450
01473,AC,Tarauacá,0,1200609
01490,AC,Xapuri,0,1200708
27030,AL,Anadia,0,2700201
27057,AL,Arapiraca,0,2700300
27073,AL,Atalaia,0,2700409
27090,AL,Barra de Santo Antônio,0,2700508
27111,AL,Barra de São Miguel,0,2700607
27138,AL,Batalha,0,2700706
27170,AL,Belo Monte,0,2700904
27154,AL,Belém,0,2700805
27197,AL,Boca da Mata,0,2701001
27219,AL,Branquinha,0,2701100
27235,AL,Cacimbinhas,0,2701209
27251,AL,Cajueiro,0,2701308
27081,AL,Campestre,0,2701357
27278,AL,Campo Alegre,0,2701407
27294,AL,Campo Grande,0,2701506
27316,AL,Canapi,0,2701605
27332,AL,Capela,0,2701704
27359,AL,Carneiros,0,2701803
27375,AL,Chã Preta,0,2701902
27391,AL,Coité do Nóia,0,2702009
27413,AL,Colônia Leopoldina,0,2702108
27430,AL,Coqueiro Seco,0,2702207
27456,AL,Coruripe,0,2702306
28894,AL,Craíbas,0,2702355
27472,AL,Delmiro Gouveia,0,2702405
27499,AL,Dois Riachos,0,2702504
27049,AL,Estrela de Alagoas,0,2702553
27510,AL,Feira Grande,0,2702603
27537,AL,Feliz Deserto,0,2702702
27553,AL,Flexeiras,0,2702801
27570,AL,Girau do Ponciano,0,2702900
27596,AL,Ibateguara,0,2703007
27618,AL,Igaci,0,2703106
27634,AL,Igreja Nova,0,2703205
27650,AL,Inhapi,0,2703304
27677,AL,Jacaré dos Homens,0,2703403
27693,AL,Jacuípe,0,2703502
27715,AL,Japaratinga,0,2703601
27731,AL,Jaramataia,0,2703700
27065,AL,Jequiá da Praia,0,2703759
