SG_UE,NM_UE,SG_UF,NM_URNA_CANDIDATO,SG_PARTIDO,DS_SIT_TOT_TURNO,NR_TURNO
02437,ITAPIRANGA,AM,DENISE LIMA,PP,ELEITO,1
25437,SALGUEIRO,PE,DR MARCONES SÁ,PSB,ELEITO,1
95818,SANTA HELENA DE GOIÁS,GO,JOAO ALBERTO,PATRIOTA,ELEITO,1
90913,ITIQUIRA,MT,FABIANO,PP,ELEITO,1
87572,NONOAI,RS,ADRIANE PERIN DE OLIVEIRA,PP,ELEITO,1
72370,VINHEDO,SP,DR DARIO,PTB,ELEITO,1
86720,GARRUCHOS,RS,ROLA,PDT,ELEITO,1
75370,CURIÚVA,PR,NATO MOURA,PSD,ELEITO,1
78972,SÃO TOMÉ,PR,OCELIO,PSD,ELEITO,1
40312,ALFENAS,MG,LUIZINHO,PT,ELEITO,1
81469,BOM JESUS DO OESTE,SC,AIRTON,MDB,ELEITO,1
63738,CUNHA,SP,ZÉ ÉDER,PSDB,ELEITO,1
62693,CABREÚVA,SP,MANGINI,PSDB,ELEITO,1
80594,CAIBI,SC,EDER PICOLI,PP,ELEITO,1
32417,SIMÃO DIAS,SE,CRISTIANO VIANA,PSB,ELEITO,1
85073,ALEGRETE,RS,MÁRCIO AMARAL,MDB,ELEITO,1
41920,CONFINS,MG,PEZAO,SOLIDARIEDADE,ELEITO,1
65439,ITANHAÉM,SP,TIAGO CERVANTES,PSDB,ELEITO,1
68837,PIRAPORA DO BOM JESUS,SP,DANY FLORESTI,PSD,ELEITO,1
90590,CHAPADA DOS GUIMARÃES,MT,OSMAR FRONER,MDB,ELEITO,1
27057,ARAPIRACA,AL,LUCIANO BARBOSA,MDB,ELEITO,1
37656,OLIVEIRA DOS BREJINHOS,BA,SILVINHO,PSD,ELEITO,1
40509,NOVO ORIENTE DE MINAS,MG,NORMANDES JARDIM,PSC,ELEITO,1
84573,FIGUEIRA,PR,ZÉ CARLOS,PSL,ELEITO,1
23817,CARUARU,PE,RAQUEL LYRA,PSDB,ELEITO,1
32050,PIRAMBU,SE,GUILHERME,PSC,ELEITO,1
73202,ITAPIRATINS,TO,SANDRO RODRIGUES,MDB,ELEITO,1
56219,BOM JESUS DO NORTE,ES,TONINHO GUALHANO,PMN,ELEITO,1
17337,LAJES,RN,FELIPE MENEZES,PP,ELEITO,1
67911,OSCAR BRESSANE,SP,PAPINHA,PSD,ELEITO,1
18996,VILA FLOR,RN,THUANNE SOUZA,REPUBLICANOS,ELEITO,1
09598,PAULO RAMOS,MA,ADAILSON MACHADO,PP,ELEITO,1
42170,CAMPANHA,MG,ROBERTO SILVA,PT,ELEITO,1
25534,SANTA MARIA DO CAMBUCÁ,PE,NELSON,PSB,ELEITO,1
56413,ECOPORANGA,ES,ELIAS DAL COL,PSD,ELEITO,1
98230,BOM PRINCÍPIO,RS,FÁBIO PERSCH,PSDB,ELEITO,1
81060,FORQUILHINHA,SC,NEGUINHO,PSD,ELEITO,1
87548,RIO DOS ÍNDIOS,RS,FLAVIO,PP,ELEITO,1
37222,MATINA,BA,OLGA,PL,ELEITO,1
98272,FORTALEZA DOS VALOS,RS,MARCIA,PP,ELEITO,1
