codigo_tse,codigo_ibge,municipio,uf,valor,sg_uf,nm_ue,sq_candidato,nm_candidato,nm_urna_candidato,sg_partido
01120,1200013,Acrelândia - AC,AC,77554916.12,AC,ACRELÂNDIA,10001917321,OLAVO FRANCELINO DE REZENDE,OLAVINHO BOIADEIRO,REPUBLICANOS
01570,1200054,Assis Brasil - AC,AC,57381127.44,AC,ASSIS BRASIL,10001950171,JERRY CORREIA MARINHO,JERRY CORREIA,PP
01058,1200104,Brasiléia - AC,AC,126798457.27,AC,BRASILÉIA,10002258405,CARLOS ARMANDO DE SOUZA ALVES,CARLINHOS DO PELADO,PP
01007,1200138,Bujari - AC,AC,51128098.11,AC,BUJARI,10002175016,JOÃO EDVALDO TELES DE LIMA,PADEIRO,PDT
01015,1200179,Capixaba - AC,AC,58893708.11,AC,CAPIXABA,10002273631,MANOEL MAIA BESERRA,MANOEL MAIA,UNIÃO
01074,1200203,Cruzeiro do Sul - AC,AC,345955320.78,AC,CRUZEIRO DO SUL,10002077093,JOSÉ DE SOUZA LIMA,ZEQUINHA LIMA,PP
01112,1200252,Epitaciolândia - AC,AC,82066771.02000001,AC,EPITACIOLÂNDIA,10001988002,SÉRGIO LOPES DE SOUZA,DELEGADO SÉRGIO LOPES,PL
01139,1200302,Feijó - AC,AC,114694884.37,AC,FEIJÓ,10002115536,RAILSON FERREIRA DA SILVA,DELEGADO RAILSON,REPUBLICANOS
01104,1200328,Jordão - AC,AC,53948843.63,AC,JORDÃO,10002063163,FRANCISCO NAUDINO RIBEIRO SOUZA,NAUDO RIBEIRO,PP
01554,1200344,Manoel Urbano - AC,AC,55453284.38,AC,MANOEL URBANO,10002003639,RAIMUNDO TOSCANO VELOZO,TOSCANO VELOZO,PP
01040,1200351,Marechal Thaumaturgo - AC,AC,88184662.41,AC,MARECHAL THAUMATURGO,10002069342,VALDELIO JOSE DO NASCIMENTO FURTADO,VALDELIO FURTADO,PP
01090,1200336,Mâncio Lima - AC,AC,85880040.92,AC,MÂNCIO LIMA,10002034946,JOSE LUIZ GOMES DA COSTA,ZÉ LUIZ,PP
